iteration	type	hypothesis	result	severity	location	description
1	hypothesis	layers[-1] unchecked	disproven	-	tui/layer.py:76	Guard exists at line 76
2	hypothesis	ring_prev off-by-one	disproven	-	focus.py:57	Python (-1)%n wraps correctly
3	hypothesis	join_horizontal empty block width	disproven	-	core/compose.py:39	Guard at line 39 returns early
4	hypothesis	border block.id propagation	disproven	-	core/compose.py:338	Correctly propagated in both paths
5	hypothesis	sparkline division by zero	disproven	-	_sparkline_core.py:72	span=1.0 fallback handles flat data
6	discovery	record.py missed display_width fix	new_lead	LOW	views/record.py:294	len(sv)>40 threshold should use display_width
7	hypothesis	focus.py ring_next API docs wrong	disproven	-	focus.py	Code correct; tui/CLAUDE.md has wrong arg order
8	hypothesis	table.py uses len() not display_width	disproven	-	views/components/table.py	_pad_line uses line.width (display-aware)
9	hypothesis	span.py wcswidth fallback wrong	confirmed	LOW	core/span.py:30	len() fallback wrong for ANSI-escaped strings; safe in practice
10	hypothesis	build_fidelity fast path handlers	disproven	-	cli/runner.py:87	handlers don't affect fast path mode resolution
11	hypothesis	_timer.py dead conditional	confirmed	LOW	_timer.py:45	[] if profile else [] always creates list
12	hypothesis	list_view empty list crash	disproven	-	views/components/list_view.py:98	Guard at line 98
13	hypothesis	text_input cursor wide char	disproven	-	views/components/text_input.py	cursor is char-index; display_width used for visual
14	hypothesis	search.py filter API mismatch	confirmed	LOW	tui/CLAUDE.md	Docs show wrong filter_fuzzy signature (key= arg doesn't exist)
15	hypothesis	tree.py cell slice splits wide char	confirmed	LOW	views/lens/tree.py:174,199	[:content_width] slice by cell count can split wide char at boundary
16	hypothesis	block.py word wrap long word	disproven	-	core/block.py:516	consumed==0 escape prevents infinite loop
17	hypothesis	compose.py truncate misc	disproven	-	core/compose.py:366	take_row_prefix+len==display for wide-char pairs
18	hypothesis	record.py content_width negative	disproven	-	views/record.py:232	max(...,10) prevents negative
19	hypothesis	shape_lens dispatch dict+list	disproven	-	views/lens/shape.py:72	One-pass dispatch correct for all combos
20	hypothesis	detect_context AUTO pipe STATIC	disproven	-	cli/types.py:161	Correct: not is_tty -> STATIC
21	hypothesis	html.py wide char placeholder	disproven	-	core/html.py:72	iter_row_spans correctly skips placeholder
22	hypothesis	flame_render_row overflow	confirmed	MEDIUM	views/lens/flame.py:196-208	block.width exceeds requested width when segs > width cols
23	discovery	chart.py ljust wide label	new_lead	LOW	views/lens/chart.py:182	.ljust(label_col) uses char count not display_width
